country,year,iso_code,population,gdp,primary_energy_consumption,electricity_generation,electricity_demand,renewables_share_energy,renewables_share_elec,fossil_share_energy,fossil_share_elec,low_carbon_share_energy,low_carbon_share_elec,solar_electricity,wind_electricity,hydro_electricity,nuclear_electricity,coal_electricity,gas_electricity,oil_electricity,biofuel_electricity,other_renewable_electricity,solar_share_elec,wind_share_elec,hydro_share_elec,nuclear_share_elec,coal_share_elec,gas_share_elec,energy_per_capita,renewables_energy_per_capita,fossil_energy_per_capita,renewables_cons_change_twh
Europe (EI),2003,,,,25080.055,3810.969,,7.082,16.634,80.838,52.696,19.162,45.618,0.469,44.904,530.365,1104.562,1155.694,669.13,183.422,,58.178,0.012,1.178,13.917,28.984,30.325,17.558,,,,-51.874
Europe (EI),2004,,,,25476.209,3895.765,,7.696,17.985,80.283,51.534,19.717,46.796,0.751,59.799,570.935,1122.414,1127.449,717.256,162.935,,69.169,0.019,1.535,14.655,28.811,28.94,18.411,,,,183.081
Europe (EI),2005,,,,25597.455,3958.623,,7.922,18.29,80.339,51.828,19.661,46.328,1.513,71.625,571.733,1109.932,1119.051,776.226,156.385,,79.145,0.038,1.809,14.443,28.038,28.269,19.608,,,,66.113
Europe (EI),2006,,,,25796.318,4014.906,,8.069,18.382,80.369,52.2,19.631,45.974,2.57,83.783,562.068,1107.815,1162.178,789.561,144.031,,89.594,0.064,2.087,14.0,27.593,28.947,19.666,,,,53.854
Europe (EI),2007,,,,25590.6,4064.024,,8.597,19.038,80.358,53.171,19.642,45.011,3.878,106.509,563.539,1055.55,1178.052,857.928,124.896,,99.775,0.095,2.621,13.867,25.973,28.987,21.11,,,,117.988
Europe (EI),2008,,,,25468.209,4087.432,,9.353,20.384,79.638,52.112,20.362,46.191,7.59,122.169,593.273,1054.845,1100.573,910.3,119.178,,110.151,0.186,2.989,14.515,25.807,26.926,22.271,,,,179.032
Europe (EI),2009,,,,23933.27,3894.372,,10.295,22.108,78.606,50.387,21.394,47.9,14.324,136.161,589.738,1004.428,1007.576,846.337,108.339,,120.735,0.368,3.496,15.143,25.792,25.873,21.732,,,,80.686
Europe (EI),2010,,,,24878.736,4064.781,,11.042,23.735,78.068,49.13,21.932,49.119,23.521,153.428,650.762,1031.807,1019.821,884.693,92.519,,137.08,0.579,3.775,16.01,25.384,25.089,21.765,,,,279.168
Europe (EI),2011,,,,24298.912,4021.048,,11.163,23.634,77.831,49.115,22.169,49.098,47.213,187.199,569.656,1023.915,1066.207,830.957,77.763,,146.276,1.174,4.655,14.167,25.464,26.516,20.665,,,,-33.595
Europe (EI),2012,,,,24240.961,4052.894,,12.595,26.542,76.7,47.0,23.3,51.169,72.18,215.343,625.574,998.13,1115.732,709.442,79.667,,162.608,1.781,5.313,15.435,24.628,27.529,17.505,,,,336.369
Europe (EI),2013,,,,24037.062,4021.854,,13.639,29.078,75.767,44.496,24.233,53.6,86.535,248.451,661.695,986.224,1087.797,634.249,67.503,,172.796,2.152,6.178,16.452,24.522,27.047,15.77,,,,220.302
Europe (EI),2014,,,,23182.053,3938.882,,14.403,30.261,74.597,42.58,25.403,55.457,98.238,265.161,643.992,992.444,1017.227,596.806,63.151,,184.562,2.494,6.732,16.35,25.196,25.825,15.152,,,,59.323
Europe (EI),2015,,,,23369.383,3983.585,,15.032,31.711,74.378,41.985,25.622,56.011,109.129,319.391,637.357,968.016,992.689,612.547,67.282,,197.355,2.739,8.018,16.0,24.3,24.92,15.377,,,,172.257
Europe (EI),2016,,,,23645.736,4022.54,,15.098,32.118,74.793,42.415,25.207,55.534,113.336,323.347,653.546,941.921,923.965,716.222,65.972,,201.737,2.818,8.038,16.247,23.416,22.97,17.805,,,,55.558
Europe (EI),2017,,,,24010.906,4062.601,,14.994,32.083,75.168,42.823,24.832,55.119,123.608,384.789,586.474,935.893,889.591,787.564,62.572,,208.517,3.043,9.472,14.436,23.037,21.897,19.386,,,,31.297
Europe (EI),2018,,,,24007.285,4065.767,,16.109,34.522,74.098,40.447,25.902,57.539,136.95,403.976,646.371,935.818,854.502,732.777,57.216,,216.295,3.368,9.936,15.898,23.017,21.017,18.023,,,,263.368
Europe (EI),2019,,,,23677.338,3998.091,,17.02,36.639,73.157,38.128,26.843,59.894,150.989,460.352,628.23,929.733,689.689,780.203,54.485,,225.302,3.777,11.514,15.713,23.254,17.25,19.514,,,,158.092
Europe (EI),2020,,,,22085.639,3880.632,,19.573,40.788,71.006,35.731,28.994,62.252,176.009,514.352,660.872,832.944,571.704,765.592,49.276,,231.581,4.536,13.254,17.03,21.464,14.732,19.729,,,,285.729
Europe (EI),2021,,,,23130.674,4042.213,,18.891,39.596,71.608,36.664,28.392,61.429,198.373,501.85,655.14,882.541,632.609,799.329,50.114,,245.185,4.908,12.415,16.207,21.833,15.65,19.775,,,,49.315
Europe (EI),2022,,,,22167.121,3903.207,,19.817,41.249,71.869,37.579,28.131,60.258,248.991,556.507,565.272,741.951,657.855,750.125,58.822,,239.284,6.379,14.258,14.482,19.009,16.854,19.218,,,,23.313
Europe (EI),2023,,,,21643.543,3818.348,,22.196,46.637,69.404,31.902,30.596,65.903,299.456,614.071,642.632,735.631,523.005,644.67,50.452,,224.615,7.843,16.082,16.83,19.266,13.697,16.883,,,,395.094
Europe (EI),2024,,,,22010.529,3887.631,,23.19,49.173,68.21,28.922,31.79,68.879,362.169,627.995,697.996,766.111,483.675,588.643,52.059,,223.491,9.316,16.154,17.954,19.706,12.441,15.141,,,,297.496
Europe (EIA),2000,,,,22973.385,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe (EIA),2001,,,,23368.826,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe (EIA),2002,,,,23422.859,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe (EIA),2003,,,,23853.02,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe (EIA),2004,,,,24224.006,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe (EIA),2005,,,,24312.953,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe (EIA),2006,,,,24436.926,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe (EIA),2007,,,,24210.111,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe (EIA),2008,,,,24103.357,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe (EIA),2009,,,,22721.141,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe (EIA),2010,,,,23486.742,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe (EIA),2011,,,,22818.479,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe (EIA),2012,,,,22592.551,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe (EIA),2013,,,,22331.295,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe (EIA),2014,,,,21636.842,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe (EIA),2015,,,,21940.59,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe (EIA),2016,,,,22145.148,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe (EIA),2017,,,,22655.387,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe (EIA),2018,,,,22431.445,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe (EIA),2019,,,,22091.906,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe (EIA),2020,,,,20109.494,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe (EIA),2021,,,,21229.375,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe (EIA),2022,,,,20562.445,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe (EIA),2023,,,,19799.896,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe (Ember),2000,,,,,4478.25,4478.25,,18.578,,55.083,,44.917,0.06,22.29,767.61,1179.51,1220.86,953.98,291.91,34.71,42.03,0.001,0.498,17.141,26.339,27.262,21.303,,,,
Europe (Ember),2001,,,,,4559.11,4559.11,,18.576,,54.688,,45.312,0.18,26.82,775.44,1218.9,1221.55,980.76,290.98,37.17,44.48,0.004,0.588,17.009,26.735,26.794,21.512,,,,
Europe (Ember),2002,,,,,4597.14,4597.14,,17.428,,55.663,,44.337,0.29,36.47,714.29,1237.04,1232.8,1026.6,299.52,42.64,50.13,0.006,0.793,15.538,26.909,26.817,22.331,,,,
Europe (Ember),2003,,,,,4708.89,4708.89,,16.552,,56.794,,43.206,0.42,44.92,675.62,1255.11,1287.12,1105.05,282.18,50.33,58.47,0.009,0.954,14.348,26.654,27.334,23.467,,,,
Europe (Ember),2004,,,,,4811.68,4811.68,,17.983,,55.682,,44.318,0.7,59.85,735.2,1267.15,1249.43,1174.98,254.82,61.23,69.55,0.015,1.244,15.279,26.335,25.967,24.419,,,,
Europe (Ember),2005,,,,,4893.97,4893.97,,18.18,,56.089,,43.911,1.51,71.63,737.04,1259.25,1243.45,1250.04,251.49,71.13,79.56,0.031,1.464,15.06,25.731,25.408,25.542,,,,
Europe (Ember),2006,,,,,4991.64,4991.64,,18.112,,56.558,,43.442,2.55,83.81,727.69,1264.37,1297.9,1278.56,246.72,80.33,90.04,0.051,1.679,14.578,25.33,26.001,25.614,,,,
Europe (Ember),2007,,,,,5067.6,5067.6,,18.603,,57.405,,42.595,3.87,106.57,732.13,1215.79,1302.7,1383.34,223.04,89.29,100.16,0.076,2.103,14.447,23.991,25.706,27.298,,,,
Europe (Ember),2008,,,,,5115.31,5115.31,,19.341,,56.852,,43.148,7.57,122.24,748.83,1217.84,1254.54,1441.46,212.14,99.38,110.69,0.148,2.39,14.639,23.808,24.525,28.179,,,,
Europe (Ember),2009,,,,,4870.91,4870.91,,21.094,,54.922,,45.078,14.29,136.43,755.41,1168.21,1138.74,1343.93,192.54,109.5,121.36,0.293,2.801,15.509,23.983,23.378,27.591,,,,
Europe (Ember),2010,,,,,5091.39,5091.39,,22.011,,54.37,,45.63,23.62,154.06,805.5,1202.51,1144.59,1443.2,180.41,125.59,137.5,0.464,3.026,15.821,23.618,22.481,28.346,,,,
Europe (Ember),2011,,,,,5072.41,5072.41,,21.831,,54.578,,45.422,48.15,187.56,724.9,1196.65,1190.64,1389.51,188.27,134.2,146.73,0.949,3.698,14.291,23.591,23.473,27.393,,,,
Europe (Ember),2012,,,,,5113.43,5113.43,,24.119,,52.893,,47.107,72.48,215.2,782.52,1175.47,1251.05,1268.81,184.8,149.83,163.1,1.417,4.209,15.303,22.988,24.466,24.813,,,,
Europe (Ember),2013,,,,,5071.88,5071.88,,26.51,,50.648,,49.352,86.86,248.15,835.6,1158.55,1216.32,1197.04,155.44,159.84,173.92,1.713,4.893,16.475,22.843,23.982,23.602,,,,
Europe (Ember),2014,,,,,4999.51,4999.51,,27.217,,49.32,,50.68,99.13,266.61,809.85,1173.03,1142.11,1166.69,156.94,169.66,185.15,1.983,5.333,16.199,23.463,22.844,23.336,,,,
Europe (Ember),2015,,,,,5045.2,5045.2,,28.24,,48.704,,51.296,109.91,319.28,797.45,1163.22,1120.96,1176.25,160.01,181.5,198.12,2.179,6.328,15.806,23.056,22.218,23.314,,,,
Europe (Ember),2016,,,,,5106.62,5106.62,,28.784,,48.924,,51.076,114.31,323.19,829.63,1138.39,1064.08,1270.94,163.34,184.45,202.74,2.238,6.329,16.246,22.292,20.837,24.888,,,,
Europe (Ember),2017,,,,,5144.41,5144.41,,28.796,,49.067,,50.933,124.01,384.52,763.47,1138.84,1031.56,1336.83,155.81,189.67,209.37,2.411,7.475,14.841,22.137,20.052,25.986,,,,
Europe (Ember),2018,,,,,5168.05,5168.05,,30.703,,47.209,,52.791,138.51,403.65,828.22,1141.49,997.37,1291.94,150.5,195.14,216.37,2.68,7.81,16.026,22.087,19.299,24.999,,,,
Europe (Ember),2019,,,,,5119.81,5119.81,,32.385,,45.35,,54.65,152.75,462.68,816.89,1139.93,851.29,1329.75,140.78,203.08,225.74,2.984,9.037,15.955,22.265,16.627,25.973,,,,
Europe (Ember),2020,,,,,4960.36,4960.36,,36.153,,42.675,,57.325,178.68,514.92,867.03,1050.22,728.41,1264.33,124.07,209.01,232.7,3.602,10.381,17.479,21.172,14.685,25.489,,,,
Europe (Ember),2021,,,,,5193.48,5193.48,,34.846,,43.751,,56.249,200.6,503.51,860.02,1111.55,799.65,1342.98,129.56,221.56,245.61,3.863,9.695,16.56,21.403,15.397,25.859,,,,
Europe (Ember),2022,,,,,5045.61,5045.61,,35.674,,45.075,,54.925,250.44,559.62,753.28,971.37,828.64,1307.91,137.74,212.45,236.61,4.964,11.091,14.929,19.252,16.423,25.922,,,,
Europe (Ember),2023,,,,,4979.97,4979.97,,39.737,,40.87,,59.13,300.95,616.69,834.41,965.79,710.17,1202.18,122.94,203.25,226.84,6.043,12.383,16.755,19.393,14.261,24.14,,,,
Europe (Ember),2024,,,,,5093.6,5093.6,,41.826,,38.57,,61.43,364.91,633.55,899.01,998.56,671.3,1172.7,120.58,209.5,232.99,7.164,12.438,17.65,19.604,13.179,23.023,,,,
Europe (Ember),2025,,,,,5101.69,5101.69,,41.604,,38.859,,61.141,444.71,625.09,819.49,996.71,650.82,1211.5,120.15,209.07,233.22,8.717,12.253,16.063,19.537,12.757,23.747,,,,
Europe (Shift),2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe (Shift),2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe (Shift),2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe (Shift),2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe (Shift),2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe (Shift),2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe (Shift),2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe (Shift),2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe (Shift),2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe (Shift),2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe (Shift),2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe (Shift),2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe (Shift),2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe (Shift),2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe (Shift),2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe (Shift),2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe (Shift),2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Union (27),2000,,427627361.0,,18025.582,2622.18,2631.02,6.501,15.518,80.158,51.687,19.842,48.313,0.05,,350.17,859.95,800.33,328.19,226.81,30.11,35.4,0.002,,13.354,32.795,30.522,12.516,42152.547,2722.328,33564.449,68.563
European Union (27),2001,,428578326.0,,18356.682,2698.92,2695.57,6.776,16.167,79.758,50.897,20.242,49.103,0.17,,373.43,888.9,792.92,351.41,229.35,31.9,36.99,0.006,,13.836,32.935,29.379,13.02,42831.566,2882.928,33935.488,71.419
European Union (27),2002,,429890525.0,,18268.471,2722.12,2729.24,6.112,14.327,80.267,52.525,19.733,47.475,0.28,,312.6,902.34,814.34,374.6,240.85,36.8,42.05,0.01,,11.484,33.148,29.916,13.761,42495.633,2580.313,33887.219,-126.308
European Union (27),2003,,431461841.0,,18602.234,2799.93,2797.84,6.071,14.194,80.558,53.406,19.442,46.594,0.4,,304.64,907.18,849.04,418.9,227.38,43.16,49.08,0.014,,10.88,32.4,30.324,14.961,43114.438,2601.28,34516.891,13.101
European Union (27),2004,,433058605.0,,18876.914,2867.55,2855.74,6.632,15.35,79.952,52.272,20.048,47.728,0.68,57.54,323.19,928.46,835.42,458.48,205.03,52.76,58.75,0.024,2.007,11.271,32.378,29.134,15.989,43589.746,2872.791,34631.531,121.734
European Union (27),2005,,434557134.0,,18880.057,2884.39,2891.72,6.687,15.375,80.181,52.865,19.819,47.135,1.48,68.1,307.02,916.08,808.89,512.54,203.41,61.0,66.87,0.051,2.361,10.644,31.76,28.044,17.769,43446.66,2886.183,34609.324,10.124
European Union (27),2006,,435683170.0,,19008.969,2932.31,2932.77,7.083,15.932,79.97,52.883,20.03,47.117,2.52,78.75,309.98,914.44,816.5,540.05,194.13,69.86,75.94,0.086,2.686,10.571,31.185,27.845,18.417,43630.258,3070.685,34667.961,83.634
European Union (27),2007,,436994510.0,,18781.164,2947.71,2958.35,7.714,16.832,79.855,53.577,20.145,46.423,3.83,99.95,307.72,872.24,828.74,571.96,178.6,78.43,84.67,0.13,3.391,10.439,29.59,28.115,19.404,42978.031,3294.219,34102.371,101.71
European Union (27),2008,,438548227.0,,18720.186,2959.78,2971.81,8.495,18.267,78.943,51.842,21.057,48.158,7.51,113.26,325.59,884.73,757.01,611.65,165.74,88.09,94.29,0.254,3.827,11.0,29.892,25.577,20.665,42686.719,3600.728,33461.004,139.537
European Union (27),2009,,439690812.0,,17585.414,2808.34,2825.63,9.598,20.334,77.999,50.292,22.001,49.708,14.22,124.61,329.0,824.92,703.55,564.03,144.78,97.24,103.23,0.506,4.437,11.715,29.374,25.052,20.084,39994.953,3810.731,30968.027,96.451
European Union (27),2010,,440608965.0,,18308.402,2945.54,2950.46,10.476,22.161,77.279,48.83,22.721,51.17,23.49,139.88,371.82,854.47,701.2,587.36,149.76,111.47,117.56,0.797,4.749,12.623,29.009,23.805,19.941,41552.496,4317.844,31852.51,226.937
European Union (27),2011,,441440625.0,,17768.266,2908.68,2909.64,10.687,22.208,77.001,48.99,22.999,51.01,47.71,165.41,307.43,837.77,724.81,556.85,143.3,118.98,125.4,1.64,5.687,10.569,28.802,24.919,19.144,40250.637,4267.933,30749.471,-18.442
European Union (27),2012,,441999248.0,,17569.773,2903.46,2910.22,12.131,25.103,75.858,46.932,24.142,53.068,70.5,187.55,331.67,811.95,742.68,482.7,137.26,132.87,139.15,2.428,6.46,11.423,27.965,25.579,16.625,39750.688,4782.057,29902.146,229.627
European Union (27),2013,,442399413.0,,17433.598,2883.69,2881.88,13.208,27.982,74.852,44.06,25.148,55.94,83.76,209.55,368.02,806.23,728.9,413.43,128.23,139.13,145.57,2.905,7.267,12.762,27.958,25.277,14.337,39406.918,5155.957,29220.129,167.327
European Union (27),2014,,442964758.0,,16871.619,2823.91,2818.88,14.118,29.645,73.508,41.58,26.492,58.42,93.6,222.46,370.06,812.57,692.78,355.41,125.99,144.25,151.04,3.315,7.878,13.105,28.775,24.533,12.586,38087.949,5324.969,27726.078,77.781
European Union (27),2015,,443910920.0,,17074.254,2870.37,2863.72,14.221,29.82,74.002,42.773,25.998,57.227,100.2,263.28,336.0,786.69,705.03,394.92,127.79,149.37,156.46,3.491,9.172,11.706,27.407,24.562,13.759,38463.242,5418.476,28196.094,46.547
European Union (27),2016,,444911502.0,,17240.172,2891.4,2892.05,14.233,30.135,74.466,43.305,25.534,56.695,100.49,266.91,345.6,767.95,659.16,464.78,128.19,151.09,158.32,3.475,9.231,11.953,26.56,22.797,16.075,38749.664,5461.75,28576.105,24.674
European Union (27),2017,,445696788.0,,17562.961,2922.98,2918.43,14.029,29.909,75.059,44.111,24.941,55.889,106.58,312.43,294.34,759.4,638.86,523.62,126.88,153.64,160.87,3.646,10.689,10.07,25.98,21.856,17.914,39405.625,5477.166,29304.16,11.16
European Union (27),2018,,446503671.0,,17504.52,2908.62,2917.46,15.098,32.363,73.969,41.441,26.031,58.559,114.13,320.76,343.84,761.94,595.54,488.95,120.86,155.46,162.6,3.924,11.028,11.821,26.196,20.475,16.81,39203.527,5861.853,28719.045,176.184
European Union (27),2019,,447369201.0,,17256.725,2874.5,2877.43,15.812,34.053,73.097,39.322,26.903,60.678,124.38,367.29,320.29,765.34,450.79,568.62,110.91,159.65,166.88,4.327,12.778,11.142,26.625,15.682,19.782,38573.789,6036.562,27905.375,83.233
European Union (27),2020,,447777523.0,,15949.86,2753.09,2767.06,18.448,38.495,70.85,36.678,29.15,63.322,144.72,398.16,347.09,683.51,352.33,559.7,97.76,162.59,169.82,5.257,14.462,12.607,24.827,12.798,20.33,35620.055,6496.231,24949.436,208.294
European Union (27),2021,,447705920.0,,16806.004,2874.99,2882.27,17.812,37.455,71.348,37.094,28.652,62.906,163.05,386.94,348.25,731.71,419.0,547.04,100.41,171.56,178.59,5.671,13.459,12.113,25.451,14.574,19.028,37538.043,6614.31,26495.031,52.4
European Union (27),2022,,449113463.0,,16149.713,2777.49,2790.43,18.601,38.883,72.031,39.181,27.969,60.819,209.76,421.83,276.19,609.26,448.43,533.96,105.86,165.27,172.2,7.552,15.187,9.944,21.936,16.145,19.225,35959.094,6617.95,25627.814,10.945
European Union (27),2023,,450657572.0,,15695.724,2710.2,2709.73,21.294,45.24,68.948,31.898,31.052,68.102,254.04,478.06,330.44,619.6,318.59,454.83,91.08,156.84,163.56,9.373,17.639,12.192,22.862,11.755,16.782,34828.492,7318.17,23695.27,325.779
European Union (27),2024,,450259560.0,,15902.261,2773.21,2760.9,22.291,48.013,67.615,28.565,32.385,71.435,307.07,491.21,369.68,649.55,270.95,432.11,89.11,156.85,163.53,11.073,17.713,13.33,23.422,9.77,15.582,35317.984,7769.514,23567.24,200.309
European Union (27),2025,,448992615.0,,,2797.09,2774.64,,47.727,,28.948,,71.052,367.36,478.8,326.37,652.41,256.79,466.46,86.45,155.6,162.45,13.134,17.118,11.668,23.325,9.181,16.677,,,,
Falkland Islands,2000,FLK,3119.0,,0.115,0.01,0.01,,0.0,,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36974.605,,,
Falkland Islands,2001,FLK,3167.0,,0.128,0.01,0.01,,0.0,,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40435.441,,,
Falkland Islands,2002,FLK,3193.0,,0.141,0.01,0.01,,0.0,,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44129.062,,,
Falkland Islands,2003,FLK,3212.0,,0.154,0.01,0.01,,0.0,,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47864.055,,,
Falkland Islands,2004,FLK,3230.0,,0.167,0.01,0.01,,0.0,,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51574.113,,,
Falkland Islands,2005,FLK,3242.0,,0.167,0.01,0.01,,0.0,,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51383.215,,,
Falkland Islands,2006,FLK,3254.0,,0.192,0.02,0.02,,0.0,,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59054.91,,,
Falkland Islands,2007,FLK,3249.0,,0.192,0.02,0.02,,0.0,,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59145.789,,,
Falkland Islands,2008,FLK,3244.0,,0.194,0.01,0.01,,0.0,,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59761.0,,,
Falkland Islands,2009,FLK,3233.0,,0.194,0.01,0.01,,0.0,,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59964.332,,,
Falkland Islands,2010,FLK,3218.0,,0.18,0.01,0.01,,0.0,,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56021.105,,,
Falkland Islands,2011,FLK,3205.0,,0.176,0.02,0.02,,50.0,,50.0,,50.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,54974.348,,,
Falkland Islands,2012,FLK,3223.0,,0.181,0.02,0.02,,50.0,,50.0,,50.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,56169.82,,,
Falkland Islands,2013,FLK,3291.0,,0.181,0.02,0.02,,50.0,,50.0,,50.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,55009.215,,,
Falkland Islands,2014,FLK,3362.0,,0.181,0.02,0.02,,50.0,,50.0,,50.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,53847.508,,,
Falkland Islands,2015,FLK,3432.0,,0.188,0.02,0.02,,50.0,,50.0,,50.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,54723.48,,,
Falkland Islands,2016,FLK,3499.0,,0.196,0.02,0.02,,50.0,,50.0,,50.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,55943.039,,,
Falkland Islands,2017,FLK,3541.0,,0.188,0.01,0.01,,0.0,,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52980.16,,,
Falkland Islands,2018,FLK,3549.0,,0.149,0.01,0.01,,0.0,,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42047.379,,,
Falkland Islands,2019,FLK,3541.0,,0.155,0.01,0.01,,0.0,,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43732.285,,,
Falkland Islands,2020,FLK,3537.0,,0.162,0.01,0.01,,0.0,,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45670.746,,,
Falkland Islands,2021,FLK,3524.0,,0.157,0.01,0.01,,0.0,,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44464.52,,,
Falkland Islands,2022,FLK,3515.0,,0.159,0.01,0.01,,0.0,,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45204.711,,,
Falkland Islands,2023,FLK,3498.0,,0.157,0.01,0.01,,0.0,,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44927.57,,,
Faroe Islands,2000,FRO,45687.0,,3.061,0.22,0.22,,36.364,,63.636,,36.364,0.0,0.0,0.08,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,36.364,0.0,0.0,0.0,66991.57,,,
Faroe Islands,2001,FRO,46262.0,,3.382,0.24,0.24,,33.333,,66.667,,33.333,0.0,0.0,0.08,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,33.333,0.0,0.0,0.0,73115.352,,,
Faroe Islands,2002,FRO,46852.0,,3.271,0.24,0.24,,41.667,,58.333,,41.667,0.0,0.0,0.1,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,41.667,0.0,0.0,0.0,69818.109,,,
